,Date,Platform Name,Campaign Name,Objective,Impressions,Clicks,Costs (USD),Purchase,Revenue (USD),Reach
0,01/01/2020,Google Ads,Campaign 503,Reach,249.55,29.9,0.897,0,0,72
1,01/01/2020,Google Ads,Campaign 504,Conversions,34.5,5.75,0.5865,0,0,10
2,01/01/2020,Google Ads,Campaign 505,Video Views,98.9,3.45,0.046,0,0,28
3,01/01/2020,Google Ads,Campaign 506,Conversions,27.6,3.45,0.115,0,0,8
4,01/01/2020,Google Ads,Campaign 507,Conversions,9497.85,4688.55,115.4945,135.4603204,5688.186772,2753
5,01/01/2020,Google Ads,Campaign 557,Conversions,123.05,8.05,0.4025,0,0,35
6,01/01/2020,Google Ads,Campaign 558,Conversions,277.15,26.45,1.2075,0,0,80
7,01/01/2020,Google Ads,Campaign 559,Conversions,18.4,0,0,0,0,5
8,01/01/2020,Google Ads,Campaign 560,Conversions,42.55,1.15,0.3335,0,0,12
9,01/01/2020,Google Ads,Campaign 566,Conversions,24.15,2.3,0.207,0,0,7
10,01/01/2020,Google Ads,Campaign 567,Conversions,33.35,0,0,0,0,9
11,01/01/2020,Google Ads,Campaign 561,Conversions,73.6,4.6,1.357,0,0,21
12,01/01/2020,Google Ads,Campaign 568,Engagements,129.95,4.6,0.6325,0,0,37
13,01/01/2020,Google Ads,Campaign 562,Conversions,62.1,4.6,0.437,0,0,18
14,01/01/2020,Google Ads,Campaign 563,Conversions,123.05,5.75,1.0235,0,0,35
15,01/01/2020,Google Ads,Campaign 564,Conversions,6.9,0,0,0,0,2
16,01/01/2020,Google Ads,Campaign 565,Conversions,60.95,2.3,0.529,0,0,17
17,01/01/2020,Google Ads,Campaign 569,Reach,393.3,47.15,4.6,0,0,114
18,01/01/2020,Google Ads,Campaign 570,Conversions,39.1,3.45,0.4255,0,0,11
19,01/01/2020,Google Ads,Campaign 571,Conversions,555.45,79.35,2.6105,0,0,161
20,01/01/2020,Google Ads,Campaign 572,Conversions,36.8,2.3,0.0575,0,0,10
21,01/01/2020,Google Ads,Campaign 573,Conversions,95.45,9.2,0.3335,0,0,27
22,01/01/2020,Google Ads,Campaign 574,Conversions,123.05,5.75,3.2315,0,0,35
23,01/01/2020,Google Ads,Campaign 579,Conversions,409.4,41.4,3.91,0,0,118
24,01/01/2020,Google Ads,Campaign 580,Reach,47.15,4.6,0.69,0,0,13
25,01/01/2020,Google Ads,Campaign 555,Conversions,179.4,34.5,4.278,0,0,52
26,01/01/2020,Google Ads,Campaign 556,Conversions,72.45,12.65,0.5865,0,0,21
27,01/01/2020,Google Ads,Campaign 581,Video Views,235.75,21.85,2.162,0,0,68
28,01/01/2020,Google Ads,Campaign 582,Reach,63.25,2.3,0.184,0,0,18
29,01/01/2020,Google Ads,Campaign 585,Engagements,12.65,1.15,0.0115,0,0,3
30,01/01/2020,Google Ads,Campaign 586,Conversions,65.55,5.75,0.368,0,0,19
31,01/01/2020,Google Ads,Campaign 587,Conversions,20.7,6.9,0.4025,0,0,6
32,01/01/2020,Google Ads,Campaign 589,Conversions,16758.95,4757.55,619.643,61.5004429,2773.529009,4857
33,01/01/2020,Google Ads,Campaign 593,Video Views,39.1,1.15,0.092,0,0,11
34,01/01/2020,Google Ads,Campaign 594,Engagements,17.25,0,0,0,0,5
35,01/01/2020,Google Ads,Campaign 595,Conversions,198.95,13.8,1.1615,0,0,57
36,01/01/2020,Google Ads,Campaign 596,Conversions,39.1,4.6,0.1955,0,0,11
